title,author,price
 【直发】Linux操作系统与服务配置 &ldquo;十三五&rdquo;高等职业教育规划教材 中国铁道出版社 严学军著,不详,¥61.29
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥75.74
 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想书 9787115439369,不详,¥49.00
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业正版全新,电子工业出版社,¥46.50
 正版 Office 2010案例教程 杨彩云编著 电子工业出版社 中职书籍 计算机类书籍【正版保证】,杨彩云,¥27.74
 3ds Max 2018从入门到精通 3ds Max 2018教程书籍基础知识 大学教材 计算机类书籍 室内设计 计算机,唐茜 耿晓武,¥76.70
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.62
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业正版,电子工业出版社,¥46.50
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.63
 【直发】Linux操作系统与服务配置 &ldquo;十三五&rdquo;高等职业教育规划教材 中国铁道出版社 严学军著,不详,¥63.75
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
 数据库技术与应用教程+应用实践教程-Acce 2013 第二版 李雨孙末 数据库表查询语言SQLVA编程重难点详讲书 计,易丹辉,¥68.60
 2023Adroid开发基础与案例实战 Java版 微课视频版 童长飞 高等学校计算机类书籍 清华大学出版社 97873,人民邮电出版社,¥47.00
 人工智能书籍四本：深度学习（deep learning）+深度学习系统+深度学习与目标检测+神经网络与深度学习 计算机类,机械工业出版社,¥480.00
 AutoCAD 2016辅助设计与制作案例技能实训教程 刘鹏吉晓苹 书店 计算机类书籍 畅想畅销书,其他,¥45.40
 Adobe Premiere Pro CS6影视编辑设计与制作案例技能实训教程 李明刘悦赵毅飞 书店 计算机类书籍 畅想,其他,¥42.40
 D 3 W应用开发实战 黄永祥 清华学出版社 软件工具程序设计计算机类书籍 书籍凤凰店,清华大学出版社,¥147.00
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版【映玥星图书】,特伦斯谢诺夫斯基,¥96.85
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类书籍 C语言基本语法编程基础 电子工业正版,电子工业出版社,¥54.80
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥35.96
 系统分析与设计 原书第10版 第十版 肯尼斯·肯德尔 机械工业出版社 计算机类书籍,肯尼斯·肯德尔等,¥173.00
" Excel在大数据挖掘中的应用 谢邦昌,朱建平,王小燕 著 经济理论、法规 经管、励志 厦门大学出版社 计算机类书籍 大",厦门大学出版社,¥73.08
 【2022新版】Java语言面向对象程序设计 第3版 第三版 微课视频版 马俊 曾述宾 高等学校计算机类书籍 清华大学,清华大学出版社,¥66.90
 2022新版Java语言面向对象程序设计 3版 三版 微课视频版 马俊 曾述宾 高等学校计算机类书籍 清华大学 9787,清华大学出版社,¥71.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥54.00
 现货 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍,特伦斯谢诺夫斯基,¥98.80
 【直发】Linux操作系统与服务配置 &ldquo;十三五&rdquo;高等职业教育规划教材 中国铁道出版社 严学军著,不详,¥61.56
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥54.00
 Django 3 Web应用开发实战 黄永祥 清华大学 软件工具程序设计计算机类书籍 书籍凤凰 978730258031,黄永祥,¥119.19
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
 AutoCAD 2014建筑设计案例教程 张宪立 计算机类书籍,不详,¥39.81
 Windows Server 2012网络管理项目实训教程 褚建立 书店 计算机类书籍 书 畅想畅销书,其他,¥36.40
 正版 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业,电子工业出版社,¥46.00
 博睿畅销正版 Office 2010案例教程 杨彩云编著 电子工业出版社 中职教材书籍 计算机类书籍【博睿好书】任选,电子工业出版社,¥38.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想,不详,¥54.00
 Office 2010案例教程 杨彩云编著 电子工业出版社 中职教材书籍 计算机类书籍 9787121248856,杨彩云,¥26.00
 正版 Java EE轻量级框架应用开发教程 李唯 书店 计算机类书籍,不详,¥36.00
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥79.00
 正版 计算机应用基础 叶克江 西安电子科技大学出版社(高职高专公共基础课十三五规划教材) 书计算机类书籍,叶克江，杨兴波，李海燕,¥56.25
 数据库技术与应用教程+应用实践教程-Access 2013 第二版 李雨孙末 数据库表查询语言SQLVBA编程重难点详讲,易丹辉,¥69.90
 数据库技术与应用教程+应用实践教程-Acce 2013 第二版 李雨孙末 数据库表查询语言SQLVA编程重难点详讲书 计,易丹辉,¥69.90
 【认准正版 量大优惠】【2023新书】Android开发基础与案例实战 Java版 微课视频版 童长飞 高等学校计算机类,人民邮电出版社,¥58.00
 3770372| 深入理解大数据：大数据处理与编程实践 计算机类书籍,机械工业出版社,¥69.99
 漫画版机械里的科学课全10册这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕的,吉林出版集团股份有限公司,¥105.00
 正版 Java Web程式设计任务教程 黑马程式设计师 书店 计算机类书籍【金辉荣丰图书】,不详,¥60.60
 【电子书】大型三维GIS平台技术及实践 软件开发 计算机类书籍,吴信才,¥19.50
 正版 数据结构：微课版 第3版第三版 李筠 出版社 计算机类数据结构高等职业教育教材 2021新书 计算机类书籍,清华大学出版社,¥68.53
" E在数据挖掘中的应用 谢邦昌,朱建平,王小燕 经济理论、法规 经管、励志 厦门学出版社 计算机类书籍 数据丛书",厦门大学出版社,¥74.00
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.60
 正邮 大学计算机基础 微课版高等学校计算机基础教育 吴宛萍 书店 计算机类书籍 清华大学出版社 978730250511,吴宛萍、魏媛媛、许小静、黄华文、洪樱、胡,¥57.00
 ERP财务管理实践教程——用友ERP-U8 V10.1版（微课版） 黄杰敏 书店 计算机类书籍 畅想畅销书,其他,¥39.40
 计算机应用基础 叶克江 西安电子科技学出版社(高职高专公共基础课十三五规划教材) 畅销书计算机类书籍,叶克江，杨兴波，李海燕,¥58.00
 一本书讲透数据治理：战略方法工具与实践 用友平台与数据智能团队 著机械工业出版社 计算机类书籍【凤凰旗舰店】任选,用友平台与数据智能团队,¥141.26
" E在数据挖掘中的应用 谢邦昌,朱建平,王小燕 经济理论、法规 经管、励志 厦门学出版社 计算机类书籍 数据丛书",厦门大学出版社,¥71.00
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥58.68
 施耐德EcoStruxure Machine控制器应用及编程进阶?李幼涵编著 计算机类书籍RFTD 9787111635,机械工业出版社,¥65.00
 正版 AutoCAD 2014建筑设计案例教程 张宪立 书店 计算机类书籍,不详,¥43.41
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥71.28
" Excel在大数据挖掘中的应用 谢邦昌,朱建平,王小燕 著 经济理论、法规 经管、励志 厦门大学出版社 计算机类书籍 大",厦门大学出版社,¥67.00
 正版 Office 2010案例教程 杨彩云编著 电子工业出版社 中职教材书籍 计算机类书籍h,杨彩云,¥26.99
 深度学习：智能时代的核心驱动力量 特伦斯·谢诺夫斯基着 引领你了解人工智能井喷式发展的真相 计算机类书籍 中信,中信出版集团,¥72.60
